frag_ID,species_long,species,Frag_type,weight,weight_wWax,Wax_weight,calc_SA
A01,Porites cylindrica,Pcyl,PI,13.9765,14.2964,0.3199,13.5814142
A02,Porites cylindrica,Pcyl,PI,13.0378,13.2241,0.1863,9.319276391
A03,Porites cylindrica,Pcyl,PI,14.0894,14.3472,0.2578,11.60028577
B01,Montipora vietnamensis,Mvie,PI,13.935,14.2511,0.3161,13.46018573
B02,Montipora vietnamensis,Mvie,PI,13.9025,14.2542,0.3517,14.59590508
B03,Montipora vietnamensis,Mvie,PI,19.1134,19.7638,0.6504,24.12510091
C01,Favites complanata,Fcom,PI,19.8661,20.3728,0.5067,19.54075059
C02,Favites complanata,Fcom,PI,20.3426,20.9919,0.6493,24.09000845
C03,Favites complanata,Fcom,PI,37.53,38.6385,1.1085,38.73951205
D01,Porites rus,Prus,PI,20.5589,21.3676,0.8087,29.17522377
D02,Porites rus,Prus,PI,23.1477,23.8524,0.7047,25.85739195
D04,Porites rus,Prus,PI,15.633,15.9589,0.3259,13.77282757
E01,Pocillopora eydouxi,Peyd,PI,20.1786,20.7755,0.5969,22.41833165
E02,Pocillopora eydouxi,Peyd,PI,33.2526,34.5565,1.3039,44.97320761
E03,Pocillopora eydouxi,Peyd,PI,22.2127,23.0778,0.8651,30.97450949
F01,Pachyseris rugosa,Prug,PI,19.2033,19.8281,0.6248,23.30840384
F02,Pachyseris rugosa,Prug,PI,16.8337,17.187,0.3533,14.64694865
F03,Pachyseris rugosa,Prug,PI,19.0646,19.5539,0.4893,18.9856518
G01,Echinopora lamellosa,Elam,PI,20.6069,21.1713,0.5644,21.38150921
G02,Echinopora lamellosa,Elam,PI,15.9851,16.2996,0.3145,13.40914216
G03,Echinopora lamellosa,Elam,PI,17.8492,18.4609,0.6117,22.89048464
H01,Montipora aequituberculata,Maeq,PI,20.028,20.9045,0.8765,31.3381949
H02,Montipora aequituberculata,Maeq,PI,17.0948,18.0288,0.934,33.17257307
H03,Montipora aequituberculata,Maeq,PI,18.5926,19.6288,1.0362,36.43298089
I01,Turbinaria frondens,Tfro,PI,20.8073,21.2428,0.4355,17.26931188
I02,Turbinaria frondens,Tfro,PI,19.3644,20.2241,0.8597,30.80223745
I03,Turbinaria frondens,Tfro,PI,18.6124,19.2423,0.6299,23.47110521
J01,Acropora hyacinthus,Ahya,PI,13.9425,14.4466,0.5041,19.45780479
J02,Acropora hyacinthus,Ahya,PI,14.6267,15.0897,0.463,18.14662318
J03,Acropora hyacinthus,Ahya,PI,14.2375,14.9945,0.757,27.52587853
A01,Porites cylindrica,Pcyl,TPC,18.4847,19.1539,0.6692,24.72486281
A02,Porites cylindrica,Pcyl,TPC,17.5975,18.0919,0.4944,19.14835317
A03,Porites cylindrica,Pcyl,TPC,17.3536,17.8469,0.4933,19.11326072
A06,Porites cylindrica,Pcyl,TPC,16.2575,NA,NA,NA
A07,Porites cylindrica,Pcyl,TPC,14.9013,NA,NA,NA
A08,Porites cylindrica,Pcyl,TPC,14.9519,NA,NA,NA
B01,Montipora vietnamensis,Mvie,TPC,15.5726,16.0707,0.4981,19.26639142
B02,Montipora vietnamensis,Mvie,TPC,15.6688,16.1473,0.4785,18.64110773
B03,Montipora vietnamensis,Mvie,TPC,14.6131,15.0423,0.4292,17.06832783
B06,Montipora vietnamensis,Mvie,TPC,14.1929,NA,NA,NA
B07,Montipora vietnamensis,Mvie,TPC,13.8656,NA,NA,NA
B08,Montipora vietnamensis,Mvie,TPC,18.7495,NA,NA,NA
C01,Favites complanata,Fcom,TPC,17.5264,18.1634,0.637,23.69761104
C02,Favites complanata,Fcom,TPC,19.9485,20.6178,0.6693,24.72805304
C03,Favites complanata,Fcom,TPC,35.4094,36.1328,0.7234,26.45396363
C06,Favites complanata,Fcom,TPC,26.1301,NA,NA,NA
C07,Favites complanata,Fcom,TPC,18.4403,NA,NA,NA
C08,Favites complanata,Fcom,TPC,16.1281,NA,NA,NA
D01,Porites rus,Prus,TPC,20.8696,21.6586,0.789,28.54674986
D02,Porites rus,Prus,TPC,17.2036,17.671,0.4674,18.28699298
D03,Porites rus,Prus,TPC,15.9287,16.3659,0.4372,17.32354567
D06,Porites rus,Prus,TPC,15.2637,NA,NA,NA
D07,Porites rus,Prus,TPC,14.9592,NA,NA,NA
D04,Porites rus,Prus,TPC,17.8664,NA,NA,NA
E01,Pocillopora eydouxi,Peyd,TPC,25.2888,26.2468,0.958,33.93822657
E02,Pocillopora eydouxi,Peyd,TPC,29.9688,30.9419,0.9731,34.41995023
E03,Pocillopora eydouxi,Peyd,TPC,31.706,32.7795,1.0735,37.62293403
E06,Pocillopora eydouxi,Peyd,TPC,35.8193,NA,NA,NA
E07,Pocillopora eydouxi,Peyd,TPC,18.8953,NA,NA,NA
E08,Pocillopora eydouxi,Peyd,TPC,28.1685,NA,NA,NA
F01,Pachyseris rugosa,Prug,TPC,17.7609,18.106,0.3451,14.38535037
F03,Pachyseris rugosa,Prug,TPC,17.5665,18.0139,0.4474,17.6489484
F04,Pachyseris rugosa,Prug,TPC,21.814,22.4118,0.5978,22.44704366
F06,Pachyseris rugosa,Prug,TPC,16.55,17.0737,0.5237,20.08308848
F07,Pachyseris rugosa,Prug,TPC,23.2955,NA,NA,NA
F08,Pachyseris rugosa,Prug,TPC,25.139,NA,NA,NA
G01,Echinopora lamellosa,Elam,TPC,21.0843,21.6174,0.5331,20.38296944
G02,Echinopora lamellosa,Elam,TPC,16.7109,17.1343,0.4234,16.88329491
G05,Echinopora lamellosa,Elam,TPC,19.3626,19.7981,0.4355,17.26931188
G06,Echinopora lamellosa,Elam,TPC,19.018,NA,NA,NA
G07,Echinopora lamellosa,Elam,TPC,23.2237,NA,NA,NA
G08,Echinopora lamellosa,Elam,TPC,19.8919,NA,NA,NA
H01,Montipora aequituberculata,Maeq,TPC,18.7417,19.6653,0.9236,32.84078989
H02,Montipora aequituberculata,Maeq,TPC,27.003,28.0819,1.0789,37.79520607
H04,Montipora aequituberculata,Maeq,TPC,20.5617,21.7613,1.1996,41.64580512
H06,Montipora aequituberculata,Maeq,TPC,13.8082,NA,NA,NA
H07,Montipora aequituberculata,Maeq,TPC,14.7488,NA,NA,NA
H08,Montipora aequituberculata,Maeq,TPC,12.6249,NA,NA,NA
I01,Turbinaria frondens,Tfro,TPC,19.6742,20.3897,0.7155,26.20193602
I02,Turbinaria frondens,Tfro,TPC,19.1635,19.8216,0.6581,24.37074807
I03,Turbinaria frondens,Tfro,TPC,18.4512,19.3036,0.8524,30.56935118
I06,Turbinaria frondens,Tfro,TPC,21.5223,NA,NA,NA
I07,Turbinaria frondens,Tfro,TPC,13.4233,NA,NA,NA
I08,Turbinaria frondens,Tfro,TPC,13.2716,NA,NA,NA
J01,Acropora hyacinthus,Ahya,TPC,13.7708,14.1737,0.4029,16.22929921
J02,Acropora hyacinthus,Ahya,TPC,15.5251,16.0712,0.5461,20.79769841
J03,Acropora hyacinthus,Ahya,TPC,15.143,15.9715,0.8285,29.80688791
J06,Acropora hyacinthus,Ahya,TPC,12.5715,NA,NA,NA
J07,Acropora hyacinthus,Ahya,TPC,13.5927,NA,NA,NA
J08,Acropora hyacinthus,Ahya,TPC,13.2802,NA,NA,NA
A01,Porites cylindrica,Pcyl,physio,4.7581,5.0507,0.2926,12.71048334
A02,Porites cylindrica,Pcyl,physio,3.5652,3.8468,0.2816,12.35955882
A03,Porites cylindrica,Pcyl,physio,3.5255,3.7843,0.2588,11.632188
A04,Porites cylindrica,Pcyl,physio,4.6615,4.9973,0.3358,14.08865964
A05,Porites cylindrica,Pcyl,physio,4.0869,4.5389,0.452,17.79569866
A06,Porites cylindrica,Pcyl,physio,18.271,18.8949,0.6239,23.27969184
A07,Porites cylindrica,Pcyl,physio,7.2185,7.9356,0.7171,26.25297959
A08,Porites cylindrica,Pcyl,physio,11.1025,11.9464,0.8439,30.29818223
A09,Porites cylindrica,Pcyl,physio,5.2318,5.6067,0.3749,15.3360368
A10,Porites cylindrica,Pcyl,physio,3.8774,4.2495,0.3721,15.24671055
B01,Montipora vietnamensis,Mvie,physio,5.6917,6.2611,0.5694,21.54102035
B02,Montipora vietnamensis,Mvie,physio,4.6032,5.0433,0.4401,17.41606213
B03,Montipora vietnamensis,Mvie,physio,3.3425,3.7764,0.4339,17.21826831
B04,Montipora vietnamensis,Mvie,physio,6.3735,7.0256,0.6521,24.1793347
B05,Montipora vietnamensis,Mvie,physio,3.0591,3.4663,0.4072,16.36647879
B06,Montipora vietnamensis,Mvie,physio,5.385,6.1886,0.8036,29.0125224
B07,Montipora vietnamensis,Mvie,physio,5.1441,5.5351,0.391,15.84966268
B08,Montipora vietnamensis,Mvie,physio,1.8494,2.0036,0.1542,8.295214837
B09,Montipora vietnamensis,Mvie,physio,2.1174,2.2421,0.1247,7.354099079
B10,Montipora vietnamensis,Mvie,physio,1.5809,1.7532,0.1723,8.872645184
C01,Favites complanata,Fcom,physio,13.6892,15.0603,1.3711,47.1170374
C02,Favites complanata,Fcom,physio,11.2386,12.1263,0.8877,31.69549987
C03,Favites complanata,Fcom,physio,29.1505,30.3006,1.1501,40.06664478
C04,Favites complanata,Fcom,physio,12.1506,12.7121,0.5615,21.28899274
C05,Favites complanata,Fcom,physio,21.3897,22.7062,1.3165,45.3751757
C06,Favites complanata,Fcom,physio,14.3341,14.8583,0.5242,20.0990396
C07,Favites complanata,Fcom,physio,12.0609,12.245,0.1841,9.249091487
C08,Favites complanata,Fcom,physio,16.1465,16.3528,0.2063,9.957320972
C09,Favites complanata,Fcom,physio,6.6495,6.9877,0.3382,14.16522499
C10,Favites complanata,Fcom,physio,4.1451,4.5652,0.4201,16.77801755
D01,Porites rus,Prus,physio,8.9063,9.5115,0.6052,22.68312015
D02,Porites rus,Prus,physio,8.1923,8.9681,0.7758,28.12564043
D03,Porites rus,Prus,physio,6.7667,7.14,0.3733,15.28499323
D04,Porites rus,Prus,physio,12.3894,12.8509,0.4615,18.09876983
D05,Porites rus,Prus,physio,6.8514,7.3577,0.5063,19.5279897
D06,Porites rus,Prus,physio,8.7134,9.1664,0.453,17.82760089
D07,Porites rus,Prus,physio,9.3792,9.7697,0.3905,15.83371157
D08,Porites rus,Prus,physio,4.1064,4.4276,0.3212,13.62288709
D09,Porites rus,Prus,physio,5.7624,5.9471,0.1847,9.268232824
D10,Porites rus,Prus,physio,6.7751,6.8841,0.109,6.853234083
E01,Pocillopora eydouxi,Peyd,physio,15.7496,16.8082,1.0586,37.14759082
E02,Pocillopora eydouxi,Peyd,physio,26.8016,28.2571,1.4555,49.80958554
E03,Pocillopora eydouxi,Peyd,physio,14.336,15.4165,1.0805,37.84624963
E04,Pocillopora eydouxi,Peyd,physio,17.9084,18.9212,1.0128,35.68646872
E05,Pocillopora eydouxi,Peyd,physio,11.8983,12.562,0.6637,24.54940055
E06,Pocillopora eydouxi,Peyd,physio,27.0798,28.9276,1.8478,62.32483001
E07,Pocillopora eydouxi,Peyd,physio,15.3791,16.463,1.0839,37.95471721
E08,Pocillopora eydouxi,Peyd,physio,11.4971,11.9235,0.4264,16.97900159
E09,Pocillopora eydouxi,Peyd,physio,21.3564,22.8498,1.4934,51.01868002
E10,Pocillopora eydouxi,Peyd,physio,19.4366,21.0187,1.5821,53.84840774
F01,Pachyseris rugosa,Prug,physio,4.1939,5.0119,0.818,29.4719145
F02,Pachyseris rugosa,Prug,physio,4.0402,6.614,2.5738,85.48584832
F03,Pachyseris rugosa,Prug,physio,9.4628,9.938,0.4752,18.53583037
F04,Pachyseris rugosa,Prug,physio,9.7315,10.3752,0.6437,23.91135597
F05,Pachyseris rugosa,Prug,physio,7.1679,7.6771,0.5092,19.62050616
F06,Pachyseris rugosa,Prug,physio,7.0492,7.8717,0.8225,29.61547453
F07,Pachyseris rugosa,Prug,physio,8.2221,8.6739,0.4518,17.78931821
F08,Pachyseris rugosa,Prug,physio,8.5644,9.0153,0.4509,17.76060621
F09,Pachyseris rugosa,Prug,physio,8.0309,8.9248,0.8939,31.89329369
F10,Pachyseris rugosa,Prug,physio,9.2742,9.9884,0.7142,26.16046312
G01,Echinopora lamellosa,Elam,physio,9.6595,11.0687,1.4092,48.33251233
G02,Echinopora lamellosa,Elam,physio,10.4419,11.3483,0.9064,32.29207155
G03,Echinopora lamellosa,Elam,physio,6.8588,7.2861,0.4273,17.0077136
G04,Echinopora lamellosa,Elam,physio,7.956,8.5935,0.6375,23.71356215
G05,Echinopora lamellosa,Elam,physio,11.7158,12.5249,0.8091,29.18798466
G06,Echinopora lamellosa,Elam,physio,12.8224,13.4849,0.6625,24.51111788
G07,Echinopora lamellosa,Elam,physio,8.0835,9.1117,1.0282,36.17776305
G08,Echinopora lamellosa,Elam,physio,5.5959,6.6,1.0041,35.40891933
G09,Echinopora lamellosa,Elam,physio,4.5549,5.1912,0.6363,23.67527948
G10,Echinopora lamellosa,Elam,physio,2.8188,3.4715,0.6527,24.19847603
H01,Montipora aequituberculata,Maeq,physio,7.3721,8.6037,1.2316,42.66667645
H02,Montipora aequituberculata,Maeq,physio,3.1293,3.8272,0.6979,25.64045679
H03,Montipora aequituberculata,Maeq,physio,3.4561,3.9384,0.4823,18.7623362
H04,Montipora aequituberculata,Maeq,physio,3.3932,4.0981,0.7049,25.86377239
H05,Montipora aequituberculata,Maeq,physio,5.4293,6.3455,0.9162,32.6047134
H06,Montipora aequituberculata,Maeq,physio,5.2785,6.4188,1.1403,39.75400293
H07,Montipora aequituberculata,Maeq,physio,4.5202,5.5439,1.0237,36.03420302
H08,Montipora aequituberculata,Maeq,physio,4.464,5.6678,1.2038,41.77979448
H09,Montipora aequituberculata,Maeq,physio,2.4752,3.2669,0.7917,28.63288588
H10,Montipora aequituberculata,Maeq,physio,3.1873,4.253,1.0657,37.37409664
I01,Turbinaria frondens,Tfro,physio,10.9943,11.6184,0.6241,23.28607228
I02,Turbinaria frondens,Tfro,physio,9.0377,9.3823,0.3446,14.36939925
I03,Turbinaria frondens,Tfro,physio,5.9757,6.5206,0.5449,20.75941574
I04,Turbinaria frondens,Tfro,physio,5.041,5.7997,0.7587,27.58011232
I05,Turbinaria frondens,Tfro,physio,4.5092,5.189,0.6798,25.06302644
I06,Turbinaria frondens,Tfro,physio,7.9013,8.7197,0.8184,29.48467539
I07,Turbinaria frondens,Tfro,physio,3.447,3.8217,0.3747,15.32965635
I08,Turbinaria frondens,Tfro,physio,8.515,8.9003,0.3853,15.66781998
I09,Turbinaria frondens,Tfro,physio,10.1765,10.8805,0.704,25.83506039
I10,Turbinaria frondens,Tfro,physio,10.2626,10.7082,0.4456,17.59152439
J01,Acropora hyacinthus,Ahya,physio,4.2696,5.138,0.8684,31.07978685
J02,Acropora hyacinthus,Ahya,physio,6.9312,8.1654,1.2342,42.74962224
J03,Acropora hyacinthus,Ahya,physio,6.165,7.3918,1.2268,42.51354575
J04,Acropora hyacinthus,Ahya,physio,11.9696,13.5001,1.5305,52.20225272
J05,Acropora hyacinthus,Ahya,physio,17.6301,19.1833,1.5532,52.92643332
J06,Acropora hyacinthus,Ahya,physio,1.3312,1.6633,0.3321,13.97062139
J07,Acropora hyacinthus,Ahya,physio,4.7398,5.677,0.9372,33.27466021
J08,Acropora hyacinthus,Ahya,physio,3.1832,4.0989,0.9157,32.58876228
J09,Acropora hyacinthus,Ahya,physio,2.9784,3.7468,0.7684,27.88956394
J10,Acropora hyacinthus,Ahya,physio,3.0021,3.6898,0.6877,25.31505405
