rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,frag_ID,sample_ID,species_ID,weight_g,volume_mL,SA_cm2,species,full_species
0.74,34,2.84,81.53,0.38,NA,1.62,47.53,78.69,6.11,NA,Respiration,A01,A01_TPC,A,1,463,24.72486281,Pcyl,Porites cylindrica
0.63,34,7.61,68.51,0.49,NA,1.86,34.51,60.9,5.25,NA,Respiration,G01,G01_TPC,G,1,460,20.38296944,Elam,Echinopora lamellosa
0.63,31.87,3.16,52.46,0.48,NA,1.84,20.6,49.3,7.05,NA,Respiration,H01,H01_TPC,H,1,461,32.84078989,Maeq,Montipora aequituberculata
0.66,33.17,5.65,61.25,0.53,NA,1.97,28.08,55.6,6.12,NA,Respiration,G02,G02_TPC,G,1,461,16.88329491,Elam,Echinopora lamellosa
0.77,31.41,8.61,59.16,0.49,NA,1.87,27.75,50.55,7.2,NA,Respiration,A02,A02_TPC,A,1,459,19.14835317,Pcyl,Porites cylindrica
0.62,32.52,0.14,65.24,0.34,NA,1.54,32.73,65.1,7.69,NA,Respiration,I02,I02_TPC,I,1,460,24.37074807,Tfro,Turbinaria frondens
0.27,32.13,2.85,57.96,0.39,NA,1.65,25.83,55.12,7.25,NA,Respiration,H02,H02_TPC,H,1,455,37.79520607,Maeq,Montipora aequituberculata
0.6,30.83,19.99,63.92,1.31,0.17,5.37,33.09,43.92,6.02,1.14,Respiration,B03,B03_TPC,B,1,465,17.06832783,Mvie,Montipora vietnamensis
0.86,30.9,18.1,60.53,1.09,0.45,4.05,29.63,42.43,6.24,0.64,Respiration,C03,C03_TPC,C,1,452,26.45396363,Fcom,Favites complanata
0.67,32.72,3.18,69.42,0.4,NA,1.67,36.7,66.24,7.32,NA,Respiration,D03,D03_TPC,D,1,463,17.32354567,Prus,Porites rus
0.72,32.77,-2.66,70.22,0.28,NA,1.43,37.45,72.88,8.14,NA,Respiration,F07,F07_TPC,F,1,444,25.48732609,Prug,Pachyseris rugosa
0.67,30.54,1.9,52.56,0.49,0.02,1.88,22.02,50.66,8.46,0.48,Respiration,D07,D07_TPC,D,1,465,13.26877235,Prus,Porites rus
0.45,32.1,3.42,66.13,0.31,NA,1.49,34.03,62.71,7.68,NA,Respiration,G07,G07_TPC,G,1,462,20.22026807,Elam,Echinopora lamellosa
0.44,31.59,4.72,46.44,0.57,NA,2.08,14.85,41.72,6.59,NA,Respiration,H08,H08_TPC,H,1,466,15.57211329,Maeq,Montipora aequituberculata
0.56,31.08,9.25,49.97,0.57,NA,2.07,18.89,40.73,6.89,NA,Respiration,F08,F08_TPC,F,1,457,24.85885218,Prug,Pachyseris rugosa
0.6,31.36,4.1,55.47,0.37,NA,1.59,24.11,51.37,7.64,NA,Respiration,A08,A08_TPC,A,1,464,13.2751528,Pcyl,Porites cylindrica
0.29,30.75,-7.98,58.09,0.07,-0.19,1.1,27.34,66.07,8,0.26,Respiration,C08,C08_TPC,C,1,467,8.907737636,Fcom,Favites complanata
1.49,29.22,-19.74,44.83,0.05,0.6,NA,15.62,64.58,8.98,-0.54,GrossPhoto,A01,A01_TPC,A,1,463,24.72486281,Pcyl,Porites cylindrica
1.52,29.99,-1.67,47.02,0.45,0.45,1.78,17.02,48.69,8.91,-0,GrossPhoto,G01,G01_TPC,G,1,460,20.38296944,Elam,Echinopora lamellosa
1.37,30.35,-7.07,43.9,0.37,0.69,1.62,13.55,50.96,8.66,-0.32,GrossPhoto,C01,C01_TPC,C,1,462,23.69761104,Fcom,Favites complanata
1.24,29.89,-4.87,46.43,0.42,0.48,1.71,16.54,51.31,9.2,-0.06,GrossPhoto,F01,F01_TPC,F,1,464,14.38535037,Prug,Pachyseris rugosa
1.28,30.84,-4.46,52.68,0.38,0.19,1.63,21.84,57.14,8.94,0.2,GrossPhoto,E01,E01_TPC,E,1,460,33.93822657,Peyd,Pocillopora eydouxi
1.26,30.26,1.5,50.08,0.45,0.37,1.77,19.83,48.58,8.59,0.07,GrossPhoto,J01,J01_TPC,J,1,465,16.22929921,Ahya,Acropora hyacinthus
1.15,30.56,-2.99,50.27,0.38,0.3,1.64,19.71,53.25,8.81,0.08,GrossPhoto,I01,I01_TPC,I,1,468,26.20193602,Tfro,Turbinaria frondens
1.38,30.73,-2.74,44.44,0.46,0.53,1.81,13.71,47.17,8.02,-0.06,GrossPhoto,B01,B01_TPC,B,1,462,19.26639142,Mvie,Montipora vietnamensis
1.01,30.09,-9.04,46.15,0.29,0.57,1.45,16.06,55.19,9.5,-0.28,GrossPhoto,H01,H01_TPC,H,1,461,32.84078989,Maeq,Montipora aequituberculata
1.44,30.34,-8.45,53.14,0.27,0.29,1.42,22.8,61.59,9.5,-0.02,GrossPhoto,D01,D01_TPC,D,1,460,28.54674986,Prus,Porites rus
1.63,29.86,-11.72,45.52,0.32,0.38,NA,15.66,57.24,9.42,-0.06,GrossPhoto,G02,G02_TPC,G,1,461,16.88329491,Elam,Echinopora lamellosa
1.32,29.84,-11.31,48.82,0.18,0.26,NA,18.98,60.13,9.5,-0.08,GrossPhoto,E02,E02_TPC,E,1,457,34.41995023,Peyd,Pocillopora eydouxi
1.47,29.65,-1.44,45.19,0.39,0.67,1.65,15.54,46.63,8.38,-0.28,GrossPhoto,F04,F04_TPC,F,1,463,22.44704366,Prug,Pachyseris rugosa
1.59,30,-9.79,47.67,0.24,0.33,NA,17.67,57.46,9.5,-0.09,GrossPhoto,D02,D02_TPC,D,1,464,18.28699298,Prus,Porites rus
1.45,30.32,-7.3,58.07,0.22,0.13,NA,27.75,65.37,9.5,0.08,GrossPhoto,A02,A02_TPC,A,1,459,19.14835317,Pcyl,Porites cylindrica
1.3,30.53,-5.75,50.26,0.32,0.18,1.5,19.73,56.01,9.15,0.14,GrossPhoto,I02,I02_TPC,I,1,460,24.37074807,Tfro,Turbinaria frondens
1.69,30.21,-6.4,48.47,0.28,0.49,NA,18.26,54.86,9.37,-0.21,GrossPhoto,C02,C02_TPC,C,1,460,24.72805304,Fcom,Favites complanata
1.09,28.94,-14.22,46.05,0.61,0.38,2.19,17.11,60.27,8.82,0.23,GrossPhoto,J02,J02_TPC,J,1,464,20.79769841,Ahya,Acropora hyacinthus
1.15,30.08,-2.33,46.87,0.37,0.53,1.61,16.79,49.2,8.91,-0.15,GrossPhoto,B02,B02_TPC,B,1,464,18.64110773,Mvie,Montipora vietnamensis
0.78,29.12,-9.98,45.62,0.26,0.69,1.4,16.5,55.6,8.76,-0.43,GrossPhoto,H02,H02_TPC,H,1,455,37.79520607,Maeq,Montipora aequituberculata
1.22,30.2,-8.65,50.93,0.24,NA,1.35,20.72,59.58,9.5,NA,GrossPhoto,E03,E03_TPC,E,1,457,37.62293403,Peyd,Pocillopora eydouxi
1.01,30.87,7.07,52.67,0.62,0.03,2.2,21.8,45.6,7.55,0.59,GrossPhoto,I03,I03_TPC,I,1,459,30.56935118,Tfro,Turbinaria frondens
1.56,29.21,-17.41,48.41,0.16,0.08,NA,19.2,65.81,9.5,0.09,GrossPhoto,A03,A03_TPC,A,1,461,19.11326072,Pcyl,Porites cylindrica
1.05,29.74,-8.72,47.26,0.46,0.35,1.8,17.52,55.98,9.5,0.11,GrossPhoto,H04,H04_TPC,H,1,458,41.64580512,Maeq,Montipora aequituberculata
1.72,30.3,0.64,50.32,0.43,0.25,1.74,20.02,49.68,8.67,0.19,GrossPhoto,F03,F03_TPC,F,1,463,17.6489484,Prug,Pachyseris rugosa
1.47,30.22,-1.43,47.73,0.4,0.36,1.68,17.51,49.16,8.75,0.05,GrossPhoto,J03,J03_TPC,J,1,461,29.80688791,Ahya,Acropora hyacinthus
1.29,29.86,12.54,44.6,0.92,0.75,3.27,14.74,32.06,6.07,0.17,GrossPhoto,B03,B03_TPC,B,1,465,17.06832783,Mvie,Montipora vietnamensis
2.38,30.48,6.95,42.56,0.66,0.92,2.34,12.08,35.61,6.39,-0.26,GrossPhoto,C03,C03_TPC,C,1,452,26.45396363,Fcom,Favites complanata
1.9,30.04,1.47,46.88,0.44,0.41,1.75,16.83,45.41,8.39,0.03,GrossPhoto,G05,G05_TPC,G,1,465,17.26931188,Elam,Echinopora lamellosa
1.37,30.27,-7.56,49.21,0.24,0.25,NA,18.94,56.77,9.5,-0.01,GrossPhoto,D03,D03_TPC,D,1,463,17.32354567,Prus,Porites rus
1.47,30.04,1.35,47.1,0.37,0.68,1.62,17.06,45.75,8.46,-0.3,GrossPhoto,B07,B07_TPC,B,1,468,13.30067458,Mvie,Montipora vietnamensis
1.76,30.04,-10.12,51.31,0.28,0.3,NA,21.27,61.43,9.5,-0.03,GrossPhoto,A07,A07_TPC,A,1,462,13.81749069,Pcyl,Porites cylindrica
1.63,30.35,-6.65,48.13,0.27,0.06,NA,17.78,54.78,9.21,0.21,GrossPhoto,E07,E07_TPC,E,1,462,18.03177515,Peyd,Pocillopora eydouxi
1.42,29.8,0.06,45.5,0.52,0.54,1.96,15.7,45.44,8.25,-0.02,GrossPhoto,J07,J07_TPC,J,1,465,16.49727793,Ahya,Acropora hyacinthus
2,30.12,-8.08,47.84,0.32,0.39,NA,17.72,55.93,9.5,-0.07,GrossPhoto,C07,C07_TPC,C,1,463,12.85404337,Fcom,Favites complanata
1.97,29.86,-19.17,41.01,0.2,0.8,NA,11.15,60.17,8.7,-0.6,GrossPhoto,F07,F07_TPC,F,1,444,25.48732609,Prug,Pachyseris rugosa
1.7,29.76,-9.22,46.96,0.34,0.46,NA,17.2,56.18,9.5,-0.12,GrossPhoto,D07,D07_TPC,D,1,465,13.26877235,Prus,Porites rus
1.44,29.93,-10.83,45.82,0.36,0.35,1.6,15.89,56.65,9.5,0.02,GrossPhoto,I07,I07_TPC,I,1,466,10.84739316,Tfro,Turbinaria frondens
1.25,29.66,-7.34,46.13,0.3,0.56,1.48,16.47,53.47,9.21,-0.25,GrossPhoto,G07,G07_TPC,G,1,462,20.22026807,Elam,Echinopora lamellosa
1.07,29.82,-11.65,47.06,0.11,0.21,NA,17.24,58.71,9.5,-0.1,GrossPhoto,H07,H07_TPC,H,1,468,19.99695246,Maeq,Montipora aequituberculata
0.81,27.05,-Inf,42.71,0.42,0.55,1.72,15.65,Inf,7.57,-0.13,GrossPhoto,B08,B08_TPC,B,1,465,21.71648261,Mvie,Montipora vietnamensis
0.86,30.32,-7.29,44.02,0.27,0.73,1.4,13.7,51.31,8.74,-0.46,GrossPhoto,H08,H08_TPC,H,1,466,15.57211329,Maeq,Montipora aequituberculata
1.6,30.66,-4.06,48.69,0.3,0.48,1.48,18.03,52.76,8.68,-0.18,GrossPhoto,E08,E08_TPC,E,1,461,30.03020351,Peyd,Pocillopora eydouxi
2.18,30.89,-4.26,53.08,0.33,0.23,NA,22.19,57.34,8.91,0.09,GrossPhoto,D04,D04_TPC,D,1,460,15.43174348,Prus,Porites rus
1.13,30.32,-0.52,48.69,0.4,0.47,1.67,18.37,49.2,8.64,-0.07,GrossPhoto,J08,J08_TPC,J,1,464,15.59444485,Ahya,Acropora hyacinthus
1.45,30.47,-Inf,37.55,0.24,1.27,NA,7.08,Inf,8.55,-1.03,GrossPhoto,F08,F08_TPC,F,1,457,24.85885218,Prug,Pachyseris rugosa
2.05,30.97,-7.62,60.08,0.21,0.13,NA,29.11,67.7,9.5,0.08,GrossPhoto,I08,I08_TPC,I,1,465,7.194587934,Tfro,Turbinaria frondens
1.6,29.96,6.41,46.74,0.73,0.47,2.56,16.78,40.33,7.58,0.26,GrossPhoto,G08,G08_TPC,G,1,461,22.74054416,Elam,Echinopora lamellosa
1.77,30.42,-5.95,47.67,0.15,0.26,NA,17.25,53.62,8,-0.11,GrossPhoto,A08,A08_TPC,A,1,464,13.2751528,Pcyl,Porites cylindrica
